Название вакансии,URL,Название компании,Описание 
Менеджер по работе с клиентами,https://belgorod.hh.ru/vacancy/26390442?query=1c, Мебель-Маркет,Выполнение плана продаж. Соблюдение стандартов продаж. Работа с кассой и программой 1С. Послепродажное обслуживание. Нацеленный на результат. Амбициозный. Энергичный. Заинтересован в развитии и быстром карьерном росте.
Продавец-консультант,https://belgorod.hh.ru/vacancy/32600546?query=1c,ООО Центр Строй,"Помощь покупателям при выборе товара. Расстановка и пополнение товара на стеллажах. Обеспечение сохранности товара в торговом зале. Проведение инвентаризации. Желание работать и зарабатывать! Знание программы 1С. Грамотная устная и письменная речь. Готовность обучаться и развиваться. Ответственность, внимательность, лояльность."
Программист Битрикс,https://belgorod.hh.ru/vacancy/33761004?query=1c,ООО Сириус,"Работа над интернет-магазином на CMS 1С-Битрикс. Разработка нового, поддержка и развитие существующего функционала на сайте. Владение API Битрикс, создание своих компонентов, оптимизация и кеширование. Опыт интеграции с 1С. Отличное знание PHP, MySQL. "
Торговый представитель,https://belgorod.hh.ru/vacancy/34603369?query=1c,ООО Здоровье,"Сбор заявок с торговых точек, ведение дебиторской задолженности. Опыт продаж, знание города и области, знание программы 1с."
Бухгалтер,https://belgorod.hh.ru/vacancy/34484751?query=1c,ООО Литер-Транс,"Продажа: Инертных материалов: Песок. Щебень. Соль. Продажа логистических услуг. Полувагоны. Платформы. Оприходование и реализация товаров и услуг (счета 60,62... "
Помощник главного бухгалтера,https://belgorod.hh.ru/vacancy/34613537?query=1c,ООО Атмосфера,"...и соответствия действующему законодательству РФ; -. - внесение первичной документации в 1с 8.3. - ведение реестра договоров. - Выполнение заданий, поручений главного... уверенный пользователь ПК, Microsoft Office Excel, Word. - умение работать в 1С 8.3 приветствуется. - ВНИМАТЕЛЬНОСТЬ! - Усидчивость, ответственность. - "
Специалист отдела логистики,https://belgorod.hh.ru/vacancy/33243683?query=1c,ООО Лариса,"1. Организация отгрузок по Белгородской области собственным транспортом, координация работы водителей. 2. Формирование отчетности. 4. Координация работы водителей-экспедиторов на... ...большим объемом информации. Опыт работы в аналогичной должности от 1 года. Уверенный пользователь пакета офисных программ Microsoft, 1С, АНТОР."
Бухгалтер,https://belgorod.hh.ru/vacancy/34260090?query=1c,ООО Мир Весов Киев,Ведение бухгалтерского и налогового учета. Ведение банковских и кассовых операций. Контроль документооборота. Контроль своевременного поступления и порядка оформления первичных учетных... Опыт работы с системами ЭДО. Уверенное пользование и профессиональное знание программы 1С (разных версий) бухгалтерия/торговля и склад участков...
Заместитель начальника отдела реинжиниринга информационных систем,https://belgorod.hh.ru/vacancy/33311952?query=1c,"ООО Агро-Белогорье, Группа Компаний","...1С Камин 3.0, 1С ЗУП 3.*, 1С БУ 3.0, 1С УПП 1.3, 1... 1С Камин 3.0, 1С ЗУП 3.*, 1С БУ 3.0, 1С УПП 1.3, 1..."
Помощник менеджера по продажам,https://belgorod.hh.ru/vacancy/34389768?query=1c, Группа Компаний Дайвес,"Обработка заявок от клиентов. Выставление счетов клиентам. Проведение сверкок взаиморасчетов с клиентами. Ввод новых товарных позиций в 1 С. Опыт работы от 1 года. Опыт работы в программе 1С, знание офисных программ в совершенстве. Мы хотим, чтобы вы..."
Администратор магазина,https://belgorod.hh.ru/vacancy/32752491?query=1c," Красное & Белое, розничная сеть","Подбор, обучение, координация и контроль деятельности персонала магазина. Организация эффективного обслуживания покупателей. Контроль приемки и учета товара в магазине.  Опыт работы в аналогичной должности (администратор, заведующий/заведующая, управляющий, директор или заместитель директора магазина и т.п.), подтвержденный опыт управления..."
Региональный представитель,https://belgorod.hh.ru/vacancy/34443539?query=1c, ГК Фарос,"Продавать продукцию FAROS в сегменте b2b на вверенной территории : управлять взаимоотношениями с дистрибьюторским (дилерским) каналом, заниматься поиском новых... Имеет опыт работы в системах CRM, а также является опытным пользователем 1С, Excel, WORD. - Имеет высокое чувство ответственности за..."
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34623422?query=1c,"ООО Зеленая долина, ГК","Формирование налоговой, бухгалтерской, статистической отчетности. Контроль за правильностью отражения хозяйственных операций. Контроль взаиморасчетов с бюджетом, подготовка ответов на требования налоговых... ...или производственном предприятии не менее пяти лет. Опыт работы в программе 1С: 8.2, 8.3. Знание ОСНО, ЕСХН."
Механик,https://belgorod.hh.ru/vacancy/33952856?query=1c,ООО Негабаритика,"Вести отчетность по ремонту в системе 1С. Взаимодействовать со сторонними сервисами, заключать договора. Осуществлять комплектацию при выпуске ТС на... Знание устройства и принципа работы транспортных средств на высоком уровне. Владение такими программами как: 1С (желательно), пакет Microsoft Office. "
Инженер-конструктор,https://belgorod.hh.ru/vacancy/34611256?query=1c,ОАО Ракитянский арматурный завод,Конструирование оборудования для АЭС и тепловых станции. Разработка графических и текстовых документов. Разработка конструкторской документации на трубопроводную арматуру и трубопроводы.  Высшее техническое образование. Опыт работы в аналогичной должности. Чтение машиностроительных чертежей. Знание 1С УПП.
Менеджер по продажам (продавец-консультант),https://belgorod.hh.ru/vacancy/34567795?query=1c, ОАУ Белгородское рекрутинговое агентство,"Работа с покупателями: выявление потребностей, консультирование и подбор техники. Продажа техники. Оформление продажи в 1С. Дополнительно: Разгрузка техника, частичная... Опыт продаж (желательно садово-парковой техники). Техническая грамотность (частичная сборка техники)."
Менеджер по продажам,https://belgorod.hh.ru/vacancy/34409133?query=1c, Группа Компаний Дайвес,"Выполнение личного плана продаж. Поиск новых клиентов (холодные звонки, рассылка КП). Работа с действующими клиентами (обзвон с целью информирования о... Опыт работы в продажах b2b от 1 года. Опыт работы в программе 1С, знание офисных программ в..."
Продавец (ТЦ Спутник дом),https://belgorod.hh.ru/vacancy/34292777?query=1c,ООО Сириус,Консультирование покупателей в торговом зале. Работа с кассой. Работа с программой 1С «Розница». Контроль наличия достаточного количества товара в... Умение работать с кассовым и торговым оборудованием приветствуется. Знание программы 1С «Розница» приветствуется. Образование не ниже средне-специального (высшее...
Инженер-технолог,https://belgorod.hh.ru/vacancy/34557698?query=1c,ООО Европа,"Проверять заказы на производство, калькуляции менеджеров на правильность и полноту составленного технического задания. Сверять соответствие заказа и расчёта, проверка правильности... Опыт работы в аналогичной должности или рекламном производстве будет преимуществом. Знание процессов печати, изготовления рекламных конструкций, трафаретной печати, особенностей пост..."
Специалист технической поддержки продуктов для физических лиц,https://belgorod.hh.ru/vacancy/34571798?query=1c, Тинькофф,"Диагностировать и решать инциденты, с которыми сталкиваются клиенты при использовании различных продуктов и сервисов банка. Инциденты заводят сотрудники, которые отвечают... Интересуются основами SQL / ООП / поддержкой или разработкой 1C (логический подход и навык работы с новой информацией существенно помогает сотрудникам..."
Менеджер по продажам,https://belgorod.hh.ru/vacancy/34350995?query=1c,ИП Антоненко Артём Алексеевич,"Работа в торговом зале. - Работа с 1С. - выезды на замеры. Личные качества: активность, целеустремленность, опрятность, грамотная речь, умение общаться и расположить к себе клиентов. Рассмотрим без опыта работы."
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34190755?query=1c,ООО Сириус,"Работа с первичной документацией. Составление баланса. Кассовая дисциплина, банковская дисциплина. Подготовка бухгалтерской, управленческой, налоговой отчетности. Учет основных средств, товарно-материальных... и налогового учета, ведение управленческого учета, алкогольная декларация, упрощенное налогообложение). Опыт работы MS Office, 1С (версия 8). "
"Продавец-консультант (ТЦ ""РИО"")",https://belgorod.hh.ru/vacancy/33607272?query=1c, Хорошая связь,"...телефоны, цифровая техника, услуги и аксессуары). Консультирование клиентов. Поддержание чистоты и порядка на рабочем месте. Работа с кассой, 1с. Активные, позитивные сотрудники с огромным желанием работать, развиваться и зарабатывать деньги!! Опыт работы не обязателен, мы всему обучаем, главное – Ваше..."
Менеджер по продажам автозапчастей,https://belgorod.hh.ru/vacancy/27716976?query=1c,ООО АТИ,"Консультирование клиентов (продажи по телефону, работа в торговом зале). Помощь клиенту в подборе запасных частей. Оформление документов купли-продажи.  Опыт работы с электронными каталогами, в программе 1С, с запчастями и техникой желателен. Опыт работы в продажах. "
Менеджер по продажам автозапчастей,https://belgorod.hh.ru/vacancy/34552769?query=1c,ООО АТИ,"Консультирование клиентов (продажи по телефону, работа в торговом зале). Помощь клиенту в подборе запасных частей. Оформление документов купли-продажи.  Опыт работы с электронными каталогами, в программе 1С, с запчастями и техникой желателен. Опыт работы в продажах. "
Менеджер по продаже мебели,https://belgorod.hh.ru/vacancy/34199949?query=1c, Группа Компаний Дайвес,"Постоянный мониторинг актуальности информации на сайте интернет-магазина (цены, новинки, снятие с производства и т.д). Работа с компаниями-поставщиками... Знание и владение орг.техникой и компьютером на уровне продвинутого пользователя. Знание программы 1С - желательно. Качества, необходимые кандидату: внимательность к..."
Маркетолог,https://belgorod.hh.ru/vacancy/34403741?query=1c,ОАО Белгородский абразивный завод,"Разрабатывать рекламную и PR политики компании. Заниматься эффективным брендингом. Участвовать в разработке дизайна продукции. Участвовать в формировании УТП.  Знаешь Word, Excel, Powerpoint на уровне продвинутого пользователя. Можешь работать в 1С, Битрикс 24 или других CRM на уровне..."
Менеджер по продажам,https://belgorod.hh.ru/vacancy/34242845?query=1c,АО Агрофирма Русь,"Занимается поиском потенциальных клиентов. Ведет коммерческие переговоры с клиентами. Осуществляет прием и обработку заказов клиентов, оформляет необходимые документы.  Наличие высшего экономического образования. Опыт работы в аналогичной сфере не менее 3 лет. Наличие определенных знаний в сфере маркетинга, продаж. "
Помощник менеджера по продажам / Менеджер по работе с клиентами,https://belgorod.hh.ru/vacancy/34602698?query=1c,ООО ТД Химтек,Грязезащитные системы. Моющие и дезинфицирующие средства. Профессиональный уборочный инвентарь. Средства индивидуальной защиты. Оборудование для пищевых предприятий. Оказание сервиса для пищевой... 
Продавец-консультант / менеджер по продажам в мебельный центр,https://belgorod.hh.ru/vacancy/34257786?query=1c,ИП Рыбалченко Владимир Васильевич,активно продавать мебель покупателям. - выписывать товар в программе 1С. - обновлять ценники. - поддерживать чистоту выставочных образцов. Вы активный и коммуникабельный. - у вас Высшее или среднее профессиональное образование. - Вам нравится работать в сфере продаж. - Вы уверенный пользователь...
Специалист по продажам,https://belgorod.hh.ru/vacancy/33784940?query=1c,ООО БелМТЗцентр,"Активный поиск клиентов. Создание и ведение собственной клиентской базы. Проведение переговоров, заключение договоров. Поддержание деловых отношений с клиентами.  ...В2В - от 1 года. Уверенный пользователь ПК, желательно знание программы 1С. Готовность к обучению, стремление к саморазвитию."
Администратор салона красоты,https://belgorod.hh.ru/vacancy/34602787?query=1c,ООО Персона,"Реализация розницы продукции. Расчет с клиентами, знание 1С. Участие в инвентаризации. Ведение отчетности о проделанной работе. Работа с соцсетями. Личные качества: Невероятное обаяние и позитив, бьющий ключом. Искренняя любовь к людям. Желание им помочь. Трудолюбие и изобретательности в работе. "
Менеджер по продажам оборудования,https://belgorod.hh.ru/vacancy/34332147?query=1c,ООО АЙ И ЭМ-ГРУПП,"Прямые активные продажи комплектующих для конвейерного оборудования. Работа с существующей клиентской базой с последующим ее расширением. Обработка входящих звонков, а... Свободное владение компьютером (MS Office (Excel), 1-С: предприятие). Грамотная письменная и устная речь. Готовность к командировкам. Техническая грамотность будет..."
Специалист по кадрам,https://belgorod.hh.ru/vacancy/34399181?query=1c,ООО IP COM,"1. Качественное ведение полного цикла кадрового делопроизводства (прием, перевод, увольнение, отпуска, больничные, личные дела, воинский учет, табельный учет рабочего времени... Опыт в подборе персонала, проведении собеседований. Уверенный пользователь ПК: MS Office, Internet, e-mail, 1С: Личные качества: ответственность, аккуратность..."
Менеджер по продажам услуг,https://belgorod.hh.ru/vacancy/34603668?query=1c,ИП Середин Дмитрий Николаевич,"Поддержание и развитие существующей клиентской базы Компании. Поиск и привлечение новых клиентов: телефонные переговоры, встречи с клиентами, подготовка коммерческих предложений.  Навыки построения долгосрочных, доверительных отношений с клиентами. Нацеленность на результат. Уверенный пользователь ПК (1С, Word, Excel). Знания CRM приветствуются."
Менеджер по продажам (производство рекламы),https://belgorod.hh.ru/vacancy/32157152?query=1c,ООО Европа,"Самостоятельный поиск и привлечение новых клиентов (приветствуется наличие собственной базы) всеми доступными способами в первое время для наработки базы.  Опыт ведения переговоров от ИП до первых лиц крупных предприятий. Наличие законченного образования. Знание ПК (1С, Битрикс 24, графических..."
Товаровед-администратор сети салонов связи,https://belgorod.hh.ru/vacancy/34601591?query=1c,ООО МобиКомСервис,"Мониторинг ассортимента. Осуществлять закупку товара (контроль оплаты, отгрузки и последующее распределение товара между салонами связи). Регулярное проведение ревизий в салонах... Опыт работы Товаровед не менее 3 лет. - Знание функционала в 1C 7.7. - Опыт составления инструкций по работе. - "
Менеджер по работе с клиентами,https://belgorod.hh.ru/vacancy/34603032?query=1c,ООО ГлобалСтрой,"Обработка заявок (консультация, просчет стройматериалов, продажи). Выполнение нормативов продаж. Предоставление отчетов по результатам работы. Образование - строительное, техническое приветствуется. Опыт работы менеджером по продаже не менее 1 года. Опыт работы по скриптам, холодных продаж. "
Программист 1С,https://belgorod.hh.ru/vacancy/34591411?query=1c,ООО Новые Информационные Технологии,"Ведение, обновление, доработка баз данных 1С. Доработки продуктов 1С. Опыт доработки/обновления баз данных 1С. Наличие сертификатов приветствуется."
Оператор,https://belgorod.hh.ru/vacancy/34598210?query=1c,ЗАО Ренна-Холдинг,"Работа в 1С, формирование заявок. Формирование отчетов. Обзвон розничных торговых точек. Взаимодействие с торговыми представителями. Высшее или среднее образование. Знание офисных программ. Исполнительность, коммуникабельность, ответственность."
Бухгалтер-кассир,https://belgorod.hh.ru/vacancy/34600116?query=1c,ООО Центральная оптика,"Ведение кассовых операций. Прием и выдача наличных денежных средств. Ведение кассовой отчетности. Расчеты с подотчетными лицами, выдача и прием авансовых... Уверенный пользователь ПК. Знание 1С. Знание функционала ККМ. Владение профильной компьютерной программой — 1С-КАМИН:Зарплата."
Программист 1С 8.3,https://belgorod.hh.ru/vacancy/32675966?query=1c," «ОФИСМАГ», Корпоративное направление","Доработка конфигурации 1С ERP 2 (УТ 11) по этапам - реализация заказа на разработку программного обеспечения, тестирование, документирование внесенных изменений.  Опыт программирования на платформе 1С 8.2/8.3 на управляемых формах. Приветствуется опыт доработки высоконагруженных конфигураций 1С..."
Аналитик (Специалист по управлению запасами),https://belgorod.hh.ru/vacancy/34502469?query=1c, Группа компаний Лето,"Интегрированное планирование цепи поставок: прогнозирование спроса (продаж) и совместное планирование систем поставок. Анализ, прогнозирование и планирование пополнения товарного запаса.  Аналитические способности. Умение работать с большим объемом информации и большим ассортиментом. Знание логистических процессов. Знание 1С (приветствуется)."
Аналитик (Специалист по управлению запасами),https://belgorod.hh.ru/vacancy/34503333?query=1c, Группа компаний Лето,"Интегрированное планирование цепи поставок: прогнозирование спроса (продаж) и совместное планирование систем поставок. Анализ, прогнозирование и планирование пополнения товарного запаса.  Аналитические способности. Умение работать с большим объемом информации и большим ассортиментом. Знание логистических процессов. Знание 1С (приветствуется)."
Бухгалтер на первичную документацию,https://belgorod.hh.ru/vacancy/34575976?query=1c,ООО Экспотех,"Оформление первичной документации, работа в программе 1С, ведение деловой переписки, переговоров. Внимательность, желание работать, коммуникабельность, ответственность. Желателен опыт."
Бухгалтер,https://belgorod.hh.ru/vacancy/34588809?query=1c,ИП ТеплоМаркет,"Ведение финансово-хозяйственных операций, учета обязательств и имущества, в том числе оформление приобретения и реализации продукции, изделий, товарно-материальных ценностей... Знание 1с 7/8. Уверенный пользователь ПК. Стрессоустойчивость. Коммуникабельность. Современное деловое общение."
Бухгалтер,https://belgorod.hh.ru/vacancy/34590621?query=1c, Группа Компаний Добрыня,"Учет движения денежных средств в 1С на всех активных счетах предприятия. Подготовка и отправка платежных поручений в системе “Клиент... Знание налогового законодательства, ПБУ, ФЗ. Опыт работы с большим объемом информации. Опыт работы с 1С 8.2, 8.3."
Кассир на первичную документацию,https://belgorod.hh.ru/vacancy/34593926?query=1c,ООО ТЕРМОМИР,"Расчет с покупателями. Консультирование покупателей по наличию и месту хранения товара. Взаимодействие с покупателями по поводу возвратов товара, объяснение порядка... Образование не ниже среднего специального (обязательно). Опыт работы кассиром (будет преимуществом). Опыт работы в программе 1С (будет преимуществом)."
Экономист,https://belgorod.hh.ru/vacancy/33772089?query=1c,ЗАО Сокол-АТС,"Формирование цен разовых заказов по проектным и фактическим спецификациям;. Проведение расчетов и обоснование цен на продукцию. Анализ цен на продукцию... Уверенный пользователь ПК, MS Office, Excel, Высшее экономическое образование."
Экономист,https://belgorod.hh.ru/vacancy/34270077?query=1c,ООО Эдвансд Фарма,"Выполняет работу по осуществлению экономической деятельности предприятия, направленной на повышение эффективности и рентабельности производства, качества выпускаемой и освоение новых видов... Хорошие знания и навыки в области экономического анализа и планирования. Уверенный пользователь 1С, Microsoft Office. Ответственность, коммуникабельность, гибкость мышления."
Кладовщик/менеджер,https://belgorod.hh.ru/vacancy/34179058?query=1c,ООО Европа,"Работа с клиентами/ведение первичного документооборота. Работа в 1С предприятие и ПО Бон Сенс. Ведение складского учета (поступление, списание... Опыт работы в аналогичной должности от 1 года. Знание 1С, MC Office, хорошее владение ПК. Легкообучаемость. Высокая скорость работы. "
Инспектор по кадрам,https://belgorod.hh.ru/vacancy/34433366?query=1c," Агропромышленная Группа БВК, ЗАО Управляющая Компания","ведение кадрового делопроизводства штата численностью до 250 человек. - обработка и анализ поступающей документации по персоналу, и перенос информации в базу... опыт работы от 3-х лет, знание программы 1С 8.2 (8.3). Личные и профессиональные качества: грамотность, ответственность..."
"Специалист по документообороту (с.Сухосолотино, Ивнянский р-н)",https://belgorod.hh.ru/vacancy/34580279?query=1c,"ООО «РУСАГРО», ОЦО","Осуществляет документооборот в соответствии с графиками по финансовым и кадровым процессам обслуживаемых юридических лиц бизнес-направления и предоставления качественной информации... Уверенный пользователь ПК, Microsoft Office, Internet. 2. Владение компьютерными программами (1С:ЗУП, 1С:УПП). 3. Навыки использования современных. "
Оператор по реализации,https://belgorod.hh.ru/vacancy/34588655?query=1c," Агропромышленная Группа БВК, ЗАО Управляющая Компания","Выписка товарно-сопроводительных документов на поступление и отпуск товара, выписка электронных ветеринарных свидетельств, проверка транспортных накладных, подготовка товарно-сопроводительных документов... Образование высшее или среднее профессиональное, преимущественно по направлению ""Бухгалтерский учет"", опыт работы приветствуется, знание ПК, программы 1С."
Бригадир (помощник технического директора),https://belgorod.hh.ru/vacancy/34510721?query=1c,ООО Европа,"Ежедневное выполнение поставленных техническим директором задач. Контроль работы монтажников в отсутствие технического директора. Контроль и снижение кол-во браков на... Желательно инженерное образование, опыт в рекламной сфере или строительной сфере. Знание программы 1с, знание пк. Опыт руководства коллективом от..."
Программист PHP,https://belgorod.hh.ru/vacancy/33982742?query=1c," «ОФИСМАГ», Корпоративное направление","Доработки системы 1С-Битрикс под требования заказчиков на основе технических заданий. Знания HTML. Знание PHP + JavaScript. Внимательность к деталям. Понимание веб-технологий, наличие сертификатов 1С-Битрикс будет преимуществом."
"Продавец-консультант в магазин ""STIN"" (Универмаг ""Белгород"")",https://belgorod.hh.ru/vacancy/34459896?query=1c, Торговая сеть Сталос,"Консультирование покупателей: по ассортиментному ряду товара, ценам, акциям, бонусной системе. Распаковка и выкладка товара, его прием и учет, проведение инвентаризации.  Ищем позитивного, амбициозного и лояльного к покупателям продавца. Желание работать с аксессуарами. Опыт работы в продажах приветствуется. Знание модельного ряда..."
Менеджер по продажам ветеринарных препаратов,https://belgorod.hh.ru/vacancy/34593340?query=1c, Белфармаком,"Находить контактные лица в компаниях-клиентах (за пределами Белгородской области). Продавать ветеринарные препараты (назначать встречи с клиентами, выполнять презентации продуктов... Владение ПК и специальным ПО: Уверенный пользователь ПК и интернет (MS Office, 1С, Outlook, Internet Explorer). Стаж вождения от..."
Продавец-консультант в оружейный магазин,https://belgorod.hh.ru/vacancy/34594232?query=1c,ООО Ноябрь,"Продажа охотничьих товаров, консультирование покупателей, выкладка товара, участие в инвентаризациях, контроль ассортимента, заполнение лицензий и книг продаж патронов и оружия. Желание обучаться, знание ПК, грамотная речь, честность."
Главный бухгалтер (оптовая торговля),https://belgorod.hh.ru/vacancy/34484251?query=1c, ОАУ Белгородское рекрутинговое агентство,"Постановка и ведение налогового бухгалтерского и управленческого учета предприятия оптово-розничной торговли в программе 1-С ( ЕНВД, ОСН).  Высшее образование по профилю. Опыт работы от 3-х лет. Знание ВЭД."
Web-программист,https://belgorod.hh.ru/vacancy/34571392?query=1c,ООО АвроРА,После завершения работ потребуется постоянная поддержка сайта на договорных условиях. 
"Инженер-технолог гальванических, лакокрасочных покрытий",https://belgorod.hh.ru/vacancy/34530248?query=1c,ЗАО Сокол-АТС,"Анализ конструкторской документации (КД) на технологичность и возможность изготовления. Разработка в электронном виде маршрутных технологических процессов (ТП), рабочих ТП, материальных... Умение читать конструкторскую и схемную документацию. Уверенный пользователь ПК «Windows». Хорошие базовые знания химии и материаловедения. Знание ЕСКД, ЕСТПП, НТД..."
Менеджер по оптовым продажам,https://belgorod.hh.ru/vacancy/34386382?query=1c, Группа Компаний Дайвес,"Выполнение личного плана продаж. Поиск новых клиентов (холодные звонки, рассылка КП). Работа с действующими клиентами (обзвон с целью информирования о... Опыт работы в продажах b2b от 1 года. Опыт работы в программе 1С, знание офисных программ в..."
"Продавец-консультант в магазин одежды ""Terranova"" (Народный бульвар)",https://belgorod.hh.ru/vacancy/34593452?query=1c, Торговая сеть Сталос,"Консультировать покупателей по ассортиментному ряду товара, ценам, акциям, бонусной системе. Принимать участие в распаковке, в выкладке товара, в его приеме... Интерес к моде, желание работать и развиваться в данной сфере. Отличные коммуникативные навыки. Активность. Ответственность. Дисциплинированность."
Менеджер отдела снабжения,https://belgorod.hh.ru/vacancy/34561389?query=1c, Мебельная Фабрика Некрасовых,"Осуществлять контроль складских запасов. Поиск поставщиков, ведение переговоров, ведение претензионной работы с поставщиками, подготовка документов для проведения сделки.  Высшее образование. Опытный пользователь ПК (MS Office, 1C). Опыт работы в закупках не менее 1-го года. "
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34598855?query=1c,ООО СервисКлауд,"Участие в разработке учетной политики по группе компаний (бухгалтерской, налоговой, управленческой). Составление бухгалтерской и налоговой отчетности. Контроль ведения бухгалтерского, налогового... бухгалтером не менее 3 лет. Отличное знание системы налогообложения ОСНО. Уверенный пользователь 1С Бухгалтерия 3.0, ЗУП 2.5..."
Инженер-технолог,https://belgorod.hh.ru/vacancy/34583918?query=1c, Стандарт Пластик Групп,"Освоение в производстве прогрессивных технологических процессов, новейших материалов, внедрение научно-технических достижений. Технологическая подготовка производства при внедрении новых изделий.  Необходим опыт работы на промышленном предприятии, специализирующемся на производстве изделий из пластмасс, также знание пакета Office, 1С:предприятие."
Инженер-технолог сварочного производства,https://belgorod.hh.ru/vacancy/33668898?query=1c,ЗАО Сокол-АТС,"Анализ конструкторской документации (КД) на технологичность и возможность изготовления. Разработка в электронном виде маршрутных технологических процессов (ТП), рабочих ТП, материальных... Знание видов сварки, основ сварочного производства, режимов и материалов сварки. Уверенный пользователь ПК «Windows», «Компас-3D». Знание ГОСТ и..."
Ведущий системный администратор,https://belgorod.hh.ru/vacancy/34596842?query=1c,ООО Агропромкомплектация,"Администрирование серверов под управление Windows Server 2012+, Linux. Администрирование СУБД MS SQL. Администрирование систем мониторинга и резервного копирования.  Опыт работы с серверами HP, Dell. Понимание принципов работы платформы 1С. Знание и опыт администрирования MS SQL (регламентные процедуры..."
