Название вакансии,URL,Название компании,Описание
Диспетчер автотранспортной службы,https://belgorod.hh.ru/vacancy/34642861?query=1c,ООО Газэнергосеть Белгород,"Организация и контроль работы водителей на линии. Создание в 1 С управление автотранспортом путевых листов, выдача и регистрация их в... Диплом об образовании не ниже среднего профессионального по профессии или специальности, входящей в укрупненную группу 23.00.00 ""Техника и..."
Менеджер-технолог (Направление Мясопереработка),https://belgorod.hh.ru/vacancy/34228207?query=1c,ООО Специо,"Активный поиск и привлечение новых клиентов. Развитие и ведение действующих клиентов, выстраивание долгосрочных партнерских и дружеских отношений с заказчиками (переговоры... ...и донести преимущества продукта потенциальному клиенту. Презентабельный внешний вид. Уверенность в пользовании ПК, знание 1С. Готовность к краткосрочным командировкам."
Менеджер по продажам,https://belgorod.hh.ru/vacancy/34324049?query=1c,ООО Техновелд,"Продажи оборудования и комплектующих для сварки, резки и обработки металла. Работа с действующей клиентской базой, поиск новых клиентов.  Активность, целеустремлённость, умение работать на результат. Знание ПК на уровне пользователя, знание 1С 8,2. Желание расти, зарабатывать и..."
Старший программист 1С,https://belgorod.hh.ru/vacancy/34631909?query=1c,ИП Гаврюшкин Михаил Викторович,"Разработка, сопровождение конфигураций, разработанных на базе платформы 1С Предприятие. Постановка требований пользователей в задачи для программирования. Знание платформы 1С Предприятие 8.1 и 8.3, умение разрабатывать под обычные формы и управляемые (такси). "
Категорийный менеджер в ювелирную сеть,https://belgorod.hh.ru/vacancy/33657569?query=1c, ОАУ Белгородское рекрутинговое агентство,"Формирование ассортимента розничной сети . Управление ассортиментом. Анализ основных показателей управления товарными запасами. Выбор поставщика, заключение договора, закупка / отборка товара.  Высшее образование. Опыт работы от 3-х лет. Знание специальных программ 1С."
Кладовщик,https://belgorod.hh.ru/vacancy/34632110?query=1c,АО РУС-Индустрия,"Ведет учет товара и складских операций в 1С:ERP. Участвует в проведении инвентаризаций товарно-материальных ценностей. Осуществляет постановку товара... Правила и порядок хранения и складирования товарно-материальных ценностей, положения и инструкции по их учету."
Менеджер по работе с персоналом,https://belgorod.hh.ru/vacancy/34633162?query=1c,АО РУС-Индустрия,"Ведение учета личного состава общества до 50 чел. Оформление приема, перевода и увольнения работников. Заполнение, учет и хранение трудовых книжек... ...персонала, знание трудового законодательства, русского языка, деловой переписки программы 1С 8.3 КОРП. Знание порядка оформления, ведения и хранения..."
Менеджер по работе с DIY сетями (KAM),https://belgorod.hh.ru/vacancy/34633567?query=1c,ООО Ди-Стар Центр,"Построение и развитие долгосрочных отношений с Федеральными и региональными сетями. Разработка и согласование коммерческих условий для сетей. Постоянный переговорный процесс... ...достижение результатов, высокий уровень самоорганизации, аналитический склад ума, ответственность, исполнительность, отличные коммуникативные навыки. Уверенный пользователь ПК (MS Office, 1С)."
Логист,https://belgorod.hh.ru/vacancy/34341575?query=1c, ФС Мебель Шара,"Контроль своевременного перемещения ТМЦ. Формирование маршрутов доставки. Участие в инвентаризациях. Выполнение функций кладовщика на время его отсутствия. Приветствуется опыт работы в сфере мебели. Уверенный пользователь ПК, 1С. Высокая степень ответственности, внимательность к деталям. Хорошая ориентация в..."
Программист 1С,https://belgorod.hh.ru/vacancy/33311659?query=1c,"ООО Агро-Белогорье, Группа Компаний","Обновление конфигураций 1С. Конфигурирование типовых конфигураций на платформе 1С: Предприятие 8.х. Техническая поддержка пользователей. 1С Камин 3.0, 1С ЗУП 3.*, 1С БУ 3.0, 1С УПП 1.3. "
Оператор (ночные смены),https://belgorod.hh.ru/vacancy/33738826?query=1c," АГАТ, Управляющая компания","Выписка и оформление документов на отгрузку товара. Корректировка накладных, ведение корректировочного листа, оформление складских частей. Выпускать в печать накладные, полученные... Знание 1С, Excel."
Помощник менеджера оптового отдела,https://belgorod.hh.ru/vacancy/34635525?query=1c, Keramix,Работа с оптовыми клиентами (выписка документов в 1С). Тендерная работа. Умение считать. Внимательность. Коммуникабельность. Готовность учиться и много работать.
Директор магазина,https://belgorod.hh.ru/vacancy/34597203?query=1c, Ювелирный дом Кристалл,"Управление персоналом: мотивация, адаптация, наставничество, организация и обучение персонала. Составление рабочих графиков. Работа с товаром: мерчандайзинг, заказ и прием товара... ...показателей розничной торговли и механизмов влияния на них. Знание этапов продаж, основ мерчандайзинга. Опытный пользователь ПК. Знание 1С приветствуется."
Заведующий складом в г. Белгород,https://belgorod.hh.ru/vacancy/33555065?query=1c,АО «Костромской завод автокомпонентов»,"Организация работы склада по приему, хранению и отпуску товарно-материальных ценностей (ТМЦ), по их размещению с учетом наиболее рационального использования... Виды, размеры, марки, сортность и другие качественные характеристики ТМЦ и нормы их расхода. Правила эксплуатации средств вычислительной техники, коммуникаций и..."
Начальник убойного цеха (ветеринарный врач),https://belgorod.hh.ru/vacancy/34631383?query=1c,ЗАО Мясной двор,"Организация эффективного производственного процесса, контроль соблюдения технологической и производственной дисциплины на убойном пункте. Организация производственного учета. Контроль совместно с главным... Уверенный пользователь сети Интернет и системы 1С. Аналитический склад ума. Инициативность. Организаторские качества. Коммуникабельность. Ответственность. Решительность. Дальновидность. Навыки переговоров. "
Торговый представитель,https://belgorod.hh.ru/vacancy/30726984?query=1c, ТИСС,"Ведение и расширение существующей базы. - Взаимодействие с клиентами. - Контроль взаиморасчетов клиентской базы. - Привязка ДС к накладным в 1С. -  Опыт работы в продажах от года. - Знание MS Office, 1С 8 (желательно). - Умение проводить переговоры на уровне первых лиц. - "
Менеджер по продажам на входящие заявки,https://belgorod.hh.ru/vacancy/34641375?query=1c,ИП Горлова Любовь Сергеевна,"Менеджер по продажам на входящие заявки. Что необходимо будет делать: Обрабатывать звонки от новых клиентов, доводить их до сделки.  "
Кладовщик сейфа МЦ,https://belgorod.hh.ru/vacancy/34489999?query=1c,ООО Белгородский Ювелирный Завод КАРАТ,"Ведение складского учета (прием, хранение, передача и учет драгоценных металлов и полуфабрикатов по сопроводительным документам). Ведение ежедневного учета фактических операционных... ...в сфере бухгалтерского учета. Опыт проведения инвентаризаций. Уверенный пользователь ПК, 1С, Excel. Личные качества: аккуратность, дисциплинированность, внимательность, исполнительность, ответственность."
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34641952?query=1c, ДОМИНАНТ ГК,"Полное ведение бухгалтерского и налогового учета сельскохозяйственного предприятия в полном объеме (растениеводство). Работа с налоговыми органами, обеспечение законности, своевременности и... Действующие формы учета и отчетности. Знание программ Word, Excel, 1C:БСХП, почтовые программы. Умение работать с большим объемом информации."
Бухгалтер,https://belgorod.hh.ru/vacancy/34632065?query=1c,ЗАО МК АВИДА,"Выполняет работу по ведению бухгалтерского учета имущества, обязательств и хозяйственных операций (товарно-материальных ценностей, затрат на производство, реализации продукции, результатов... ...особенностей бухгалтерского учета в предприятии. Опыт работы в этой должности не менее 2-х лет. Отличное знание 1С:Бухгалтерия."
Оператор информационной базы,https://belgorod.hh.ru/vacancy/34585176?query=1c, Деловые Линии,Оформление заказов на перевозку груза клиентов в информационной базе 1С. Консультирование клиентов компании. Прием и выдача сопроводительной документации. Образование среднее профессиональное или высшее. Успешный опыт работы с клиентами приветствуется. Готовность к обучению. Владение MS Office на уровне уверенного...
Директор магазина,https://belgorod.hh.ru/vacancy/33945937?query=1c,ООО КОЛЕСА ДАРОМ.РУ,"Общее руководство коллективом магазина. Работа в торговом зале (поддержание чистоты, мерчендайзинг, работа с покупателями, кассовые операции и т.д.).  Высшее образование. Знание и опыт работы в программе 1С. Умение вести команду за собой и достигать поставленных целей. "
Менеджер по продажам и обслуживанию клиентов,https://belgorod.hh.ru/vacancy/34438747?query=1c, Группа Компаний Востпак,"Поиск клиентов (по телефону,личные встречи,др.). Прием телефонных звонков и обзвон клиентов,консультирование. Работа с клиентами:ведение переговоров,подготовка... ...приветствуется в сфере упаковки,полиграфии.). Навыки общения и ведения переговоров с клиентами. Умение работать с документами. Владение ПК (1С)."
"Главный технолог (переработка мяса птицы, г. Глазов)",https://belgorod.hh.ru/vacancy/33269751?query=1c, Комос Групп,"Организация разработки и внедрения экономически обоснованных, ресурсосберегающих технологических процессов (сокращение расходов сырья, материалов, затрат труда, улучшение качества продукции, рост производительности... Опыт работы в области переработки мяса не менее 3-х лет. Высшее профильное образование. Желателен опыт работы с 1С..."
Бухгалтер-кассир ДЦ Mazda,https://belgorod.hh.ru/vacancy/34543240?query=1c, Группа Компаний Ринг,"Проведение операций по приему, учету, выдаче и хранению денежных средств. Работа с ПКО, РКО. Работа с клиентами. Работа с терминалом... Стаж работы обязателен не менее 1 года. Знание 1С Бухгалтерия. Такие качества,как внимательность, усидчивость и порядочность обязательны."
Кассир,https://belgorod.hh.ru/vacancy/34633497?query=1c,ООО КДМ,Расчетно-кассовое обслуживание клиентов. Ведение кассовой отчетности. Обеспечение сохранности денежных средств. Инкассация. Опыт работы в аналогичной должности. Навыки работы в 1С .
Заместитель управляющего салоном мебели,https://belgorod.hh.ru/vacancy/32633364?query=1c,ООО Торговый дом Лазурит,"...базовыми правилами компании. 4. Следить за выполнением всех стандартов компании сотрудниками. 9. Обучение в программах 1С, дизайнерской программе (визуализация). Достижение и перевыполнения плана салона. 6. Понимание специфики бизнес-процессов в розничной торговле. 7. Опыт работы в 1С желателен."
